feature_1,feature_2,feature_3,target
12.5,4.0,3.0,1.0
10.0,3.5,2.0,1.0
14.0,4.0,3.0,1.0
11.5,4.0,2.5,1.0
9.5,3.0,3.0,1.0
13.0,3.5,2.0,1.0
15.0,4.0,3.0,1.0
12.0,4.0,3.0,1.0
11.0,3.5,2.5,1.0
13.5,4.0,2.0,1.0
10.5,3.0,2.0,1.0
14.5,3.5,3.0,1.0
12.0,3.0,2.0,1.0
11.0,4.0,1.5,1.0
13.0,4.0,1.0,1.0
8.5,2.0,1.0,0.0
7.0,2.5,1.0,0.0
9.0,3.0,1.0,0.0
6.5,2.0,0.5,0.0
5.0,1.5,0.0,0.0
8.0,2.0,0.5,0.0
7.5,1.5,0.0,0.0
9.0,2.5,0.5,0.0
6.0,2.0,0.0,0.0
5.5,1.0,0.0,0.0
7.0,1.0,1.0,0.0
8.0,1.5,1.0,0.0
6.0,2.5,0.5,0.0
4.5,1.0,0.0,0.0
7.5,2.0,1.0,0.0
